1574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;DIESEL S500;3,346;11/07/2018 10:01
1574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;DIESEL S10;3,406;11/07/2018 10:01
1935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;GASOLINA C COMUM;4,439;04/07/2018 15:28
1935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;ETANOL;3,499;04/07/2018 15:28
1935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;DIESEL S500;3,369;04/07/2018 15:28
1935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;DIESEL S10;3,389;04/07/2018 15:28
2056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;GASOLINA C COMUM;5,48;16/10/2018 09:58
2056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;ETANOL;3,48;16/10/2018 09:58
2056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;DIESEL S500;4,07;16/10/2018 09:58
2056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;DIESEL S10;4,12;16/10/2018 09:58
2078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500; ;JD NOVA EUROPA;CAMPINAS;SP;GASOLINA C COMUM;4,499;11/09/2018 11:21
2078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500; ;JD NOVA EUROPA;CAMPINAS;SP;ETANOL;2,799;11/09/2018 11:21
2078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500; ;JD NOVA EUROPA;CAMPINAS;SP;DIESEL S500;3,699;11/09/2018 11:21
2078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500; ;JD NOVA EUROPA;CAMPINAS;SP;DIESEL S10;3,799;11/09/2018 11:21
2308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,3536; ;AGUAS CLARAS;VIAMAO;RS;GASOLINA C COMUM;4,699;29/11/2018 15:38
